"","Sample_ID","Layer","Tooth","dist_ERJ","d18O_carb","SD_carb","d18O_phos","SD_phos","carb_phos","pred_d18O_phos","PI_lwr","PI_upr","combined_phos"
"51","AXL66.1","III","AXL66",2.44,25.37,0.14,NA,NA,NA,16.7,15.4,18,16.7
"52","AXL66.2","III","AXL66",4.62,25.15,0.14,15.8,0.1,9.35,16.4,15.1,17.7,15.8
"53","AXL66.3","III","AXL66",6.86,24.61,0.14,15.6,0.6,9.01,15.8,14.5,17.1,15.6
"54","AXL66.4","III","AXL66",8.88,25.18,0.14,15.6,0.4,9.58,16.5,15.1,17.8,15.6
"55","AXL66.5","III","AXL66",10.92,25.87,0.14,NA,NA,NA,17.2,15.9,18.6,17.2
"56","AXL66.6","III","AXL66",13.42,26.56,0.14,NA,NA,NA,18,16.7,19.4,18
"57","AXL66.7","III","AXL66",15.5,25.73,0.14,NA,NA,NA,17.1,15.8,18.4,17.1
"58","AXL66.8","III","AXL66",17.15,26.46,0.14,NA,NA,NA,17.9,16.6,19.2,17.9
"59","AXL66.9","III","AXL66",19.61,26.49,0.14,18.4,0.1,8.09,17.9,16.6,19.3,18.4
"60","AXL66.10","III","AXL66",22.04,27.01,0.14,18.5,0.3,8.51,18.5,17.2,19.9,18.5
"61","AXL66.11","III","AXL66",24.07,26.88,0.14,19.1,0.4,7.78,18.4,17,19.7,19.1
"62","AXL66.12","III","AXL66",26.36,26.62,0.14,NA,NA,NA,18.1,16.7,19.4,18.1
"63","AXL66.13","III","AXL66",29.13,26.49,0.14,NA,NA,NA,17.9,16.6,19.3,17.9
"64","AXL66.14","III","AXL66",31.82,26.35,0.14,NA,NA,NA,17.8,16.4,19.1,17.8
"65","AXL66.15","III","AXL66",34.44,25.81,0.14,NA,NA,NA,17.2,15.9,18.5,17.2
"66","AXL66.16","III","AXL66",36.23,24.74,0.14,16.8,0.4,7.94,16,14.7,17.3,16.8
"67","AXL70.0","IV","AXL70",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","AXL70.1","IV","AXL70",2.56,24.69,0.14,NA,NA,NA,15.9,14.6,17.2,15.9
"69","AXL70.2","IV","AXL70",5.41,24.16,0.14,NA,NA,NA,15.3,14,16.6,15.3
"70","AXL70.3","IV","AXL70",7.46,23.37,0.14,15,0.3,8.37,14.4,13.1,15.8,15
"71","AXL70.4","IV","AXL70",9.86,23.75,0.14,15.1,0.1,8.65,14.9,13.5,16.2,15.1
"72","AXL70.5","IV","AXL70",12.08,25.06,0.14,NA,NA,NA,16.3,15,17.6,16.3
"73","AXL70.6","IV","AXL70",14.71,26.34,0.14,NA,NA,NA,17.8,16.4,19.1,17.8
"74","AXL70.7","IV","AXL70",17.66,26.61,0.14,NA,NA,NA,18.1,16.7,19.4,18.1
"75","AXL70.8","IV","AXL70",20.52,26.88,0.14,19.3,0.3,7.58,18.4,17,19.7,19.3
"76","AXL70.9","IV","AXL70",23.18,26.87,0.14,19,0.1,7.87,18.4,17,19.7,19
"77","AXL70.10","IV","AXL70",25.99,26.03,0.14,NA,NA,NA,17.4,16.1,18.7,17.4
"78","AXL70.11","IV","AXL70",29.19,26.4,0.14,NA,NA,NA,17.8,16.5,19.2,17.8
"79","AXL70.12","IV","AXL70",31.6,25.65,0.14,NA,NA,NA,17,15.7,18.3,17
"80","AXL77.0","VI","AXL77",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","AXL77.1","VI","AXL77",1.71,25.36,0.14,16.6,0.2,8.76,16.7,15.4,18,16.6
"82","AXL77.2","VI","AXL77",4.25,24.67,0.14,NA,NA,NA,15.9,14.6,17.2,15.9
"83","AXL77.3","VI","AXL77",6.64,23.93,0.14,NA,NA,NA,15.1,13.7,16.4,15.1
"84","AXL77.4","VI","AXL77",9.36,23.12,0.14,13.8,0.2,9.32,14.2,12.8,15.5,13.8
"85","AXL77.5","VI","AXL77",11.03,23.29,0.14,13.9,0.1,9.39,14.3,13,15.7,13.9
