,Sample_ID,Layer,Tooth,dist_ERJ,combined_phos,depth,length_raw,sample_length
1,AXL70.1,IV,AXL70,2.56,16,0.7,2.56,26
2,AXL70.2,IV,AXL70,5.41,15.4,0.7,2.85,28
3,AXL70.3,IV,AXL70,7.46,15,0.7,2.05,20
4,AXL70.4,IV,AXL70,9.86,15.1,0.7,2.4,24
5,AXL70.5,IV,AXL70,12.08,16.4,0.7,2.22,22
6,AXL70.6,IV,AXL70,14.71,17.9,0.7,2.63,26
7,AXL70.7,IV,AXL70,17.66,18.2,0.7,2.95,29
8,AXL70.8,IV,AXL70,20.52,19.3,0.7,2.86,29
9,AXL70.9,IV,AXL70,23.18,19,0.7,2.66,27
10,AXL70.10,IV,AXL70,25.99,17.5,0.7,2.81,28
11,AXL70.11,IV,AXL70,29.19,17.9,0.7,3.2,32
12,AXL70.12,IV,AXL70,31.6,17.1,0.7,2.41,24
