,Sample_ID,Layer,Tooth,dist_ERJ,combined_phos,depth,length_raw,sample_length
1,AXL86.1,VI,AXL86,1.87,16.1,0.7,1.87,19
2,AXL86.2,VI,AXL86,4.87,15.8,0.7,3,30
3,AXL86.3,VI,AXL86,7.21,16,0.7,2.34,23
4,AXL86.4,VI,AXL86,10.98,17.2,0.7,3.77,38
5,AXL86.5,VI,AXL86,13.27,17.9,0.7,2.29,23
6,AXL86.6,VI,AXL86,16.26,18.4,0.7,2.99,30
7,AXL86.7,VI,AXL86,18.66,18.4,0.7,2.4,24
8,AXL86.8,VI,AXL86,21.21,17.5,0.7,2.55,26
9,AXL86.9,VI,AXL86,23.82,16.9,0.7,2.61,26
10,AXL86.10,VI,AXL86,26.65,16.7,0.7,2.83,28
11,AXL86.11,VI,AXL86,29.16,16.6,0.7,2.51,25
12,AXL86.12,VI,AXL86,31.83,16.3,0.7,2.67,27
13,AXL86.13,VI,AXL86,33.9,16.2,0.7,2.07,21
14,AXL86.14,VI,AXL86,36.77,16.1,0.7,2.87,29
15,AXL86.15,VI,AXL86,40.18,16.3,0.7,3.41,34
16,AXL86.16,VI,AXL86,43.06,16.9,0.7,2.88,29
17,AXL86.17,VI,AXL86,45.65,16.6,0.7,2.59,26
18,AXL86.18,VI,AXL86,47.79,16.5,0.7,2.14,21
