X,totallength,dMeasd,trial1,trial2,trial3,trial4,trial5,trial6,trial7,trial8,trial9,trial10,trial11,trial12,trial13,trial14,trial15,trial16,trial17,trial18,trial19,trial20,trial21,trial22,trial23,trial24,trial25,trial26,trial27,trial28,trial29,trial30,trial31,trial32,trial33,trial34,trial35,trial36,trial37,trial38,trial39,trial40,trial41,trial42,trial43,trial44,trial45,trial46,trial47,trial48,trial49,trial50,trial51,trial52,trial53,trial54,trial55,trial56,trial57,trial58,trial59,trial60,trial61,trial62,trial63,trial64,trial65,trial66,trial67,trial68,trial69,trial70,trial71,trial72,trial73,trial74,trial75,trial76,trial77,trial78,trial79,trial80,trial81,trial82,trial83,trial84,trial85,trial86,trial87,trial88,trial89,trial90,trial91,trial92,trial93,trial94,trial95,trial96,trial97,trial98,trial99,trial100,ci_length,lower_CI,upper_CI,mean,tooth,Layer
l1,23,16.3568088568212,15.6681957870589,15.3104776414768,16.0257725966958,15.5820468862835,16.1934781168633,16.2331234508503,15.3946163341663,15.335735173894,16.3893968719405,16.7201943211209,17.1462893111161,16.588876036528,15.8429190721348,16.7430682567223,15.36171994752,15.4645777045181,16.723112178406,16.9556305999385,15.7572124564928,15.4970582343466,15.7135821642236,16.6495328052094,15.5663437078414,15.9572899939038,15.9491512901126,16.3690530291247,16.2920562052813,17.2334747655338,16.3265808010471,15.9352962977719,16.1046253122993,16.0438892810533,16.6515989298667,16.9133075266326,17.2691935293205,16.0528920162252,16.0672220163276,16.4883375368091,16.8506870735237,17.6196651918612,18.2589491955037,16.8036188918214,16.4318298383484,17.6324271367248,17.732665035594,18.0668130117208,16.7147634422913,17.3571770094869,16.7555552833461,16.7812760484073,16.2138042918598,16.4744733247036,18.5736625357366,17.2830422221916,18.0041278588375,19.6928453195995,17.7549933254086,16.8279120061569,16.862938657576,16.637726964077,17.3967815084098,17.8675810020223,17.2915801501036,16.8231850433419,16.4502279639592,16.4407197491153,17.4392444439347,17.8095996869378,16.6788210946426,17.980478333728,17.4688483972252,16.748629338882,17.3875196948463,16.2413683697737,16.2123476458359,16.0544041306432,16.2023194275599,17.24455606733,16.8493188146754,16.0997093293461,17.3593500116018,15.1853841344582,16.2293984361563,18.5276149034398,17.3632231182363,13.2312215699287,16.4816050335476,17.1693906077508,16.9356915632193,17.118996534428,15.6273603570475,14.8590713428214,15.5741197060139,15.8667342264533,17.2357197169253,16.5199597179018,16.7635294585613,14.8345565497564,17.6193758764726,17.1942236528208,2.3,15.0222277386398,18.3932820494717,16.619687697209,AXL66_Trial 5,III
l2,35,16.3568088568212,14.5923241844479,17.2542087269512,14.7325772963971,15.3396198843441,14.3817885078772,14.930994172148,15.8542388280109,15.5682171548385,15.2763434429275,16.1737354753187,18.3993700633001,17.3492997005589,17.7599882567743,18.7187404848183,17.6154778430393,17.81444034732,19.7803251369715,18.9349174727791,17.1325422174413,17.7958434827485,16.611348826457,18.7284004753672,18.0367660892208,16.7984994767204,18.6295066838445,16.7377240920536,18.9799103670817,17.7110041651047,16.5300752318675,18.6188424061451,14.6900228702602,17.0889640345288,16.7070897724492,17.4523422796288,18.3070870594161,17.3134368152499,17.0425542730153,16.1846564493174,16.1352165577931,16.8524960526085,15.6728828524192,17.1835494575772,15.947741194742,16.8541197801938,17.7833737928641,15.8317141462549,17.6803414082791,18.0839954818548,17.7603624947788,17.4887427991425,18.0944335573984,16.6442453842014,16.3209203861397,16.5615649195979,17.9105222569942,14.4251038723083,16.5405243559315,14.7839319909254,14.2012215919944,15.2858518928225,15.9383547758178,16.4421882837486,15.8562285446394,15.9744161714306,16.603712231764,15.5827559201483,15.931697417028,15.8095428765016,15.109847412409,16.9891880402709,16.5986754532901,17.9227698699941,16.1180690116317,16.3105563877433,15.8436191490009,15.9969916143451,15.5986656542494,15.6016078787542,15.0679907355083,15.2266882983872,15.8889597022548,15.2530856773873,14.0525427610947,17.0998827443883,16.2824013446763,14.552165392331,14.93825873316,15.1945489813458,14.6394562028606,15.7493411736411,15.2660062206909,13.0856620116433,13.0064492367134,14.022131904658,14.994703739953,13.7875718778903,13.969971714783,16.3082015347768,14.553801591857,14.6246135082914,3.5,13.8787717963366,18.8316589740731,16.2947149595192,AXL66_Trial 5,III
l3,43,15.8676358883328,14.3014750925244,12.3105126107084,14.4194826112311,13.1857469021087,13.8897638634517,14.5262998940793,13.1825986296756,15.1609985612238,13.1160373383057,12.5303602564061,13.912557668758,13.8193231330425,11.3141872477428,13.632946646096,16.4737306999768,12.2166775524463,13.1825262196006,16.0358734608639,13.2993096291168,14.9399953761995,13.9151740514313,14.37496111453,13.7937082024773,13.5688189178906,14.3685731399722,15.5741911188801,13.9355170407208,14.8944731878187,14.0885634949081,13.3335909095915,14.365366342521,14.0288753530972,15.426680562663,14.270105747632,13.7634020388694,13.5592086282085,14.7894994437561,12.4712810980239,13.6967501231797,14.1718250477914,11.3810808280568,13.6978717217918,14.5500485115662,12.8262995967296,13.2396813742051,13.3757012582777,15.9959912523629,13.3898644175653,15.4802810531268,13.9518449496232,11.9448021677169,13.9340984234379,13.3837982113846,13.6017253711167,13.0566164229164,13.0860116511776,15.3914973741544,13.2067561670351,13.1658271747848,15.7801286878698,14.8310430582516,14.9477335355617,13.7388797561442,14.8017151025885,15.5118114861493,13.2095076042678,15.9222252702877,13.4873062156676,14.6116739381843,14.0648717069065,13.706839559118,15.7508691470013,14.4218858579344,15.4592907073763,15.0609642001363,14.9008379293502,14.5109003928686,15.2397130366219,13.8812299929851,15.2523307154044,15.6358447932668,14.3656351513651,12.134773756449,14.3697080225516,14.0968672153116,15.1542248856742,12.5030839168199,12.8814120618844,11.3196510157837,12.8327910679743,15.3968581263462,13.1043898059833,13.412039969056,14.2102846428338,14.0754282863161,14.1616044423598,13.7146945857653,15.4951809251938,14.5607606453177,13.1865047785208,4.3,11.6629414978868,15.9591082613253,14.0403158293894,AXL66_Trial 5,III
l4,62,15.4516532717421,11.0981584710516,10.3628841941812,11.1174170588254,10.3559743032606,11.2514110876463,13.3543727799419,11.9336566507904,11.01826950702,12.4551521240691,11.3643561341251,12.8739080308442,13.1191147653099,12.0056040288745,12.3874972951036,12.4639906389263,13.3023536947937,11.1510480597323,11.0814776820805,13.0736347361634,11.0842352360558,12.5449490527473,11.051451223042,13.986452490627,12.3439741979271,12.5425589396473,13.2506240725732,12.7784266351166,11.8357098239059,11.926897166237,10.8399227283109,13.213160038061,11.6078401531135,12.4994795133324,11.925282239692,14.4768272306567,12.5607821445152,12.7020152532995,11.5891503781728,10.5851882962953,11.8723561418648,11.9969432552629,13.6102088658226,13.8333772590031,12.4718591121813,13.4111998511396,13.293952745093,12.4682606974145,12.3077527268552,13.2316518628895,13.1287297490122,13.8219583254227,12.3817966883066,14.1225346617625,13.0089934127318,12.22359656729,13.9999578307927,11.9043855958136,13.3489398033723,14.0733089227362,13.0643176617329,13.8578417089951,13.6410429711534,12.4253863320668,12.2013226791354,12.7398879969593,14.0506043319529,13.45335545389,11.4211589297369,12.9525186758768,13.2007553526103,12.6977731149966,12.2795612232433,12.8086025984293,13.9039318653018,12.2767239104596,12.2574216198336,13.1274191085388,13.5624909301352,13.4254107854123,12.9068161891507,11.1303754138833,11.9391422624462,10.4750430363194,10.6137568754639,11.2457908740603,12.2922396477412,12.2525570012588,12.3197898678266,13.00802313927,13.051241710612,10.8874210290621,11.2377332065491,10.9435793415926,11.9909733626181,11.2622749859676,11.9042027154411,12.1288579722672,10.85028045952,12.5906124805063,11.6895574643563,6.2,10.5301156663074,14.0979217922494,12.407390313752,AXL66_Trial 5,III
l5,87,15.8785071182873,9.09013602156053,9.51096171975602,8.78496430087517,7.82961824128883,10.6630435603002,11.167263603365,9.88062228709499,8.50858079768771,10.6374541825818,8.92266420629615,9.90932033601544,10.8485868717922,10.5454357655752,9.95863728764578,10.0976415573753,10.9847614091939,11.1274330210986,10.080593077093,11.1687408515922,11.241896156029,12.2906229550733,10.9812782074602,10.1406208793583,11.7645410926094,10.6739731175702,10.2385048586884,9.7161913810788,11.6224931408285,11.6295636415377,10.2224868409324,13.2546745762068,12.7806139521063,11.3788761785353,11.0488487845776,9.62704862300467,12.5274096737134,11.0272783371625,11.4534117244963,12.6648103187825,10.3942954009148,11.7106809797639,10.6802907416215,11.2392567925046,10.7597070424447,11.6421128152925,10.4256423698458,11.5365532574578,10.9849036363875,10.4447480130122,10.4843133937414,10.1749627228623,9.85128179372401,11.1059813942152,11.7219278805958,11.1227253130809,9.83890126991066,11.6795880010511,11.1356793194919,10.3432131833556,10.4773380475745,11.9685679964665,10.2353313757955,12.3229683165106,11.8063882026711,10.5930240741817,9.60677369035593,9.19505834715906,12.4460475588501,11.5753141160141,11.6089991644206,11.7627971726584,9.79300537783815,9.99321097999842,9.49168183489927,11.1619074280064,11.7523539350609,12.1969173929397,9.89288192578299,10.3818758317208,11.1478057334812,11.2689955124028,11.0545966921529,11.8140185602887,10.4368069483095,11.3126702090943,11.658849260694,11.811625838004,10.9933258870157,12.3090309527619,11.2920423676079,11.5677611531652,10.9402931652826,11.9529560690532,11.4400490577167,12.3433134041061,10.9113776321627,12.1603158262112,10.4933781008882,10.9785240556735,13.1652925945688,8.7,8.85381425358566,12.9729532733375,10.9749737402678,AXL66_Trial 5,III
l6,103,18.1016529173387,20.2050662900704,18.5527246605772,20.9860617171876,19.8582515559711,19.525390021573,18.8907004602836,19.2540788096182,20.6591815563027,18.694830462929,19.4349249088634,20.1080165416201,18.6917515707167,18.9946382607338,19.9247073010064,19.2120168205289,19.2608908663648,18.6912474284629,19.1647531674315,17.2832742324874,19.7326854907597,18.9032082222251,18.5567144444826,18.9501867226689,18.1466406526791,20.6061295564344,20.7090228857883,19.8180996728914,20.0627227000659,21.0875413536246,21.1116916587502,19.4032402898044,20.0551836723795,18.1416022624964,20.2898208908846,18.4821851331707,19.8371719782394,20.643996125438,21.1097520447751,19.1968366863951,19.0722274400291,19.7945972422165,18.2917874801173,18.4048213991488,19.3641328846358,18.4856102880237,20.0317188695973,19.940051757898,19.336130207005,20.2030800547225,20.8553246944143,19.2170602042051,20.6227662942388,20.5831542235322,19.8348087046361,22.8942307098821,20.2705701981178,20.6598508332822,19.7238002857088,19.9780338039455,20.834912262438,20.3705141065561,20.2329750721228,18.6821935206332,19.5906841006947,20.3112381492802,19.6154838931366,19.793537000495,20.7748881225303,19.270363605295,19.9713353164362,20.7058075250593,20.8659192833458,19.7834131948669,20.8155952832354,20.0234783889096,19.8493400475184,21.0980038695869,18.5841819985403,20.5696346804568,20.0006775526972,20.9808504643009,20.0633968367428,21.1376034919306,20.1180497176073,19.6500585368013,18.8129102261095,19.6607371465274,20.9339751728361,21.0230449971463,21.5932034887235,20.780772178146,24.3454268817595,21.6507718275921,21.1961057350373,20.4175796353884,21.7557643725286,20.592320569288,21.4328053702303,21.6468829438065,21.8208830422357,10.3,18.1441214575878,21.7883237073821,19.9926699918609,AXL66_Trial 5,III
l7,113,17.2670012403857,17.9532055745679,17.8676193089306,13.5422169856966,17.0758193383337,16.3823498318736,16.409083140492,17.8224089147986,17.7403261193633,16.4087870034684,15.4655532985267,16.1649192918684,17.4091986160113,16.5495210644701,15.636099261351,15.8667346405918,16.572936901026,17.0879233817424,17.2337237083613,16.5584863200406,15.1546424073586,16.4606933438272,18.1212227186562,16.756946459953,14.9351641724819,17.7380637644416,17.8228534562356,13.810929521965,16.099591231803,17.4604854411298,15.6752728403189,17.5616713911192,16.1378066008944,18.6338051381802,16.2919300610719,18.1513254403948,17.8948701249008,16.5089821896952,17.2711727792935,18.8382971177219,16.7278508255025,16.8855398394679,16.8479571373805,15.7337071988425,15.6134032008009,16.0416927876035,16.6186619721842,16.3121957284279,16.8712865343869,17.0639357002819,15.7266384589205,15.5650911548176,16.5036672106602,16.0722774172836,15.2069644327837,12.9037351713342,14.8014395084264,18.7971311900693,15.5573042643277,15.9210919420212,14.0650962608,16.6118783792335,16.1428093364983,18.0587203874956,17.3117131981971,16.2854766329892,17.7204695003141,16.9594346049776,15.7619490383452,13.913633738486,18.6077881825857,18.3563951003469,16.2590896602871,19.4286297773018,17.5294682201385,18.5808810582223,17.4973158222398,16.0194713282019,18.7170133306452,15.4917921229517,13.9577966354576,14.4266154473746,14.1758603218653,15.5396074339406,15.2584221653208,12.7307311820954,17.4057560570407,16.7061945600304,15.112283949102,13.7104978778485,14.6423322473467,12.8325853620836,14.9453578626324,15.2129961711966,15.2300652917755,15.5825670155964,17.3299608165936,15.3547166700816,16.0340372560804,13.8134374464615,14.7606467817926,11.3,13.2229760785154,18.7570722603573,16.2989376836717,AXL66_Trial 5,III
l8,151,16.5240334547084,12.6360635559183,12.63184239539,13.7162263874641,14.1166394583752,13.1481393448929,13.954498738886,13.6297038697117,11.5536841020293,12.715046191284,12.5154522839934,11.8026769163094,12.3195125199248,13.612963971438,13.6308267057333,11.3783730154803,12.4724403072787,12.9129136499777,13.1225234872016,12.7810715635855,12.6319261001833,12.0675319740084,12.1755654404679,13.0456285772449,14.8455235895809,12.5863830516777,13.1922977805745,15.1156692888706,13.0226165808659,13.3490641995619,13.2858647981406,14.6130099879388,13.4138271342301,14.1242471147443,14.909523590123,13.9018223338529,13.0720016629531,13.9945373639181,13.3028123347981,14.2382607548011,13.9858732163584,13.3069250640152,13.8672251273989,12.0970990529752,13.8973297002438,12.6109634126402,14.523214040025,12.3813054869296,14.1068458209851,12.5706856661513,11.9179877296359,13.6924785153539,12.4341290483757,13.9174114052299,13.210152958378,14.3388807738937,13.5239959789345,13.6806170961991,13.8223191343967,12.6467440752492,13.8187355067183,13.2717279645949,12.6390890357733,13.0017951043956,13.8039974988633,14.3853729663207,14.261605783254,14.3708443591043,13.3167023008413,14.8263880924357,13.9129835829082,15.4815784685174,13.4594574569614,11.96060813201,14.3684745726968,13.8526511560418,13.4697484385855,13.5619018948362,13.4953564809132,12.6856804566543,13.3849998558486,13.0568102915292,12.7177318807406,12.4600741009556,12.1907299018462,13.5160214495688,13.0630717031327,13.1100491618998,12.0346872853842,11.5590638071164,14.7038887465414,12.5256491218078,12.8529218522521,11.9892327559414,11.869991748139,14.8532625898289,13.8955189827162,13.02084888582,13.7566631465603,12.7100092654674,13.6565719622019,15.1,11.6808703617129,15.0125964394968,13.3214596695962,AXL66_Trial 5,III
l9,177,17.1942192695857,16.2572525809613,16.0726406633421,15.5593666972268,15.6795080642762,15.9849507558013,17.0604712856938,16.5065579097012,16.6816598498465,15.0983215435599,16.8202136532023,15.9246918350306,15.9016247934164,15.5397702500037,15.9166306807308,16.2620820295998,13.6772449863996,16.4294529811947,15.6257763174576,16.1353608061426,15.5527107678895,15.530395010311,14.5857886254956,15.7642424432743,15.9780532226512,13.8619411116207,14.6654172724581,15.1094449229763,14.5183207339564,16.3537786980191,15.7740284932449,15.5949946743726,15.8546258824405,16.4307328816862,15.4835203330272,17.1194147982056,16.370774145378,15.2535617022287,15.8297857931574,15.5510805733173,16.9304338645339,14.1057155143435,15.7150011774362,16.4677689982051,15.1510803878344,14.3736489072898,16.3561890369938,17.5098327643272,15.1884034762828,15.4804690780866,16.4169822768247,16.7903360091466,16.5554600337826,16.8075832829565,14.5263584472449,16.4350669325668,15.6774660687923,13.7128172320754,15.908150910512,15.8498450349906,15.8011504458506,15.7696202865591,14.8740822744135,16.3268637121975,14.7601495882186,15.638007491345,15.1400729573564,15.7417307778285,17.6483913198723,15.8372882171902,16.9430821518753,15.1593010517039,16.1835364838002,15.0754545485003,16.1342507074315,15.3929671073051,16.2493025037707,14.4506837435092,16.642957525031,15.2747565622237,15.0242615636216,13.9694435754038,14.8958328521574,14.8627304734866,16.451702771244,17.2962607788858,17.5605229971398,14.8728279048903,16.7845960757374,16.4979537035363,15.2431648771327,16.3279503578866,15.8559023534069,17.9533058750837,18.1087845751806,15.2945748791076,16.2288131046865,17.6197230684918,16.3906878872212,15.6289456189517,15.3163029743055,17.7,13.9156923435123,17.6340571941821,15.8484847148183,AXL66_Trial 5,III
l10,201,17.9924832375369,18.9186208348482,18.9382709337067,17.9055520804594,19.8213204916842,17.9091589682925,17.942880418306,17.4826016247294,17.6249871699681,17.2999626668006,18.3580932000281,17.7508787176538,19.3309295311576,17.4442006712883,17.8265587362518,17.7225952697966,20.3613836940003,17.4573168595467,18.9900419153214,17.2836141050975,18.373218993613,19.2148489294967,19.390140014361,18.2430026728772,17.0046773942945,17.9203032047215,17.4032114603156,18.1230005775071,19.6769836862806,18.2036485530558,17.0529352206423,18.8385216893656,18.8822921839616,18.5152778240875,17.6737915700148,17.5529787836902,18.473353079235,18.5784241451112,19.734268929179,18.3879485183499,19.6566343874185,18.2334108270943,18.3709882652826,17.8751554591007,19.5525892852804,20.1142795584379,17.0918751520383,17.9829963104231,19.5373193597173,19.1134967666564,17.60684639009,17.5314877727854,20.2220494098883,17.2602314778675,18.4466803677952,17.426952393667,18.9060252544938,19.3830873749517,19.104214328456,19.4081948890847,18.0500038941743,18.3123067860471,18.9383820337777,19.3893136124584,19.1922221960245,19.3108791296754,19.0748066635655,19.0250348935015,18.6296128717419,19.5433521638092,18.7021510308001,17.4314201362969,18.6733338860564,19.3778292324161,18.0194700195421,18.2109163831783,19.8071901836287,18.7650399891001,20.2730887804233,19.2020302932198,19.7973136952049,18.983792835259,18.9963829570179,18.9360154879184,18.3678347157373,19.193571146378,18.9865878587572,20.3542263935473,18.3824133236243,18.5661722092902,17.5298080894921,18.1189008029751,18.940796436513,18.3306402643226,17.9119050735731,17.8751791085468,18.8640654781056,18.7355698781338,17.5570587492532,18.3062625985001,17.8900691138272,20.1,17.1760533149529,20.2475690951558,18.5443737027978,AXL66_Trial 5,III
